season,possession_floor,all_rows,retained_rows,row_share,possession_share,all_players,retained_players,player_share
2014-15,100,4382,3010,0.6869009584664537,0.9770541331162983,492,459,0.9329268292682927
2014-15,150,4382,2666,0.6083979917845732,0.9594360202536375,492,439,0.8922764227642277
2015-16,100,3844,2755,0.7167013527575442,0.9832158729781658,476,441,0.9264705882352942
2015-16,150,3844,2491,0.6480228928199792,0.969918899314488,476,432,0.907563025210084
2016-17,100,3957,2778,0.7020470053070508,0.9808678060217529,486,450,0.9259259259259259
2016-17,150,3957,2507,0.6335607783674501,0.9673468670731065,486,435,0.8950617283950617
2017-18,100,4588,2925,0.6375326939843069,0.9755121114659573,540,469,0.8685185185185185
2017-18,150,4588,2586,0.5636442894507411,0.9585544839263017,540,452,0.837037037037037
2018-19,100,4795,3172,0.6615224191866528,0.9769795204616665,530,477,0.9
2018-19,150,4795,2797,0.5833159541188738,0.9588527782043884,530,461,0.869811320754717
2019-20,100,4531,2886,0.6369454866475391,0.9726896739995905,529,461,0.8714555765595463
2019-20,150,4531,2548,0.5623482674906202,0.9537325113178788,529,446,0.8431001890359168
2020-21,100,4991,3215,0.6441594870767381,0.968889678200406,540,497,0.9203703703703704
2020-21,150,4991,2798,0.5606090963734722,0.9456364705302863,540,476,0.8814814814814815
2021-22,100,5723,3406,0.5951424078280622,0.9698418864690381,605,508,0.8396694214876033
2021-22,150,5723,3002,0.524550061156736,0.9497180548991966,605,487,0.8049586776859504
2022-23,100,4785,3256,0.6804597701149425,0.9761676775390462,539,488,0.9053803339517625
2022-23,150,4785,2858,0.5972831765935214,0.9567031801938004,539,468,0.8682745825602969
2023-24,100,5190,3177,0.6121387283236994,0.9698394908857778,570,505,0.8859649122807017
2023-24,150,5190,2748,0.5294797687861271,0.9489446879469079,570,473,0.8298245614035088
