history_status,policy,rows,summed_possessions,summed_minutes,median_possessions,net_rating_variance,row_share,possession_share,minute_share
both_missing,Strict previous season,656,330337,157152.738333,336.0,121.75315276484832,0.024295396466797525,0.014239500363749819,0.014173054385524929
complete,Strict previous season,20184,18895609,9040220.893308,645.0,86.46034626911262,0.7475278693381726,0.8145137578556878,0.8153058211847141
one_missing,Strict previous season,6161,3972691,1890761.223292,431.0,98.3712144843875,0.22817673419502982,0.17124674178056237,0.17052112442976097
both_missing,Most recent within 3 years,548,282100,134166.391668,343.5,115.72865300444359,0.02029554460945891,0.012160197170204438,0.012099996385623927
complete,Most recent within 3 years,20747,19220150,9194069.829973,635.0,87.439712168979,0.7683789489278174,0.8285034159549977,0.8291809172831848
one_missing,Most recent within 3 years,5706,3696387,1759898.633292,433.0,96.7603015894519,0.2113255064627236,0.15933638687479787,0.15871908633119108
both_missing,Most recent within 5 years,543,280997,133640.593334,346.0,115.81267925220693,0.02011036628273027,0.012112651273434728,0.012052576477688186
complete,Most recent within 5 years,20755,19221803,9194821.533307,634.0,87.49601125490021,0.7686752342505833,0.8285746701411811,0.8292487107708935
one_missing,Most recent within 5 years,5703,3695837,1759672.728292,433.0,96.56789327098872,0.2112143994666864,0.15931267858538414,0.15869871275141817
