possession_band,rows,summed_possessions,median_possessions,median_net_rating,net_rating_variance,median_absolute_net,extreme_net_share,row_share,possession_share
1–24,6858,77761,11.0,-10.0,4739.266246156272,37.5,0.4012831729367162,0.1465823109477194,0.0032078109191390407
25–49,4157,149603,35.0,-6.5,865.7905031739082,20.0,0.09983160933365408,0.08885136579318599,0.006171450173428298
50–74,2946,180405,61.0,-5.3,497.6718600363995,15.7,0.027155465037338764,0.06296755439661438,0.00744209988126797
75–99,2245,194048,86.0,-5.2,339.4523527426761,13.1,0.009799554565701559,0.04798443978968067,0.00800490339935305
100–149,3579,440688,123.0,-5.1,257.7664629802033,11.3,0.004191114836546521,0.07649724276492968,0.018179341550822976
150–299,6699,1454367,214.0,-3.8,158.3988536649803,9.1,0.0002985520226899537,0.14318385841918524,0.05999581207849036
300+,20302,21744270,794.0,-0.3,67.5121541528252,5.3,0.0,0.43393322788868466,0.8969985819974983
