Rk,Player,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Ace Bailey,UTA,1,5,2025,Rutgers,2025-26,19,UTA,31,21,0,725,124,284,79,156,45,128,20,30,43,56,99,46,23,11,37,75,313,.437,.506,.352,.667,.527,.516,G-F,baileac01
2,Brooks Barnhizer,OKC,2,44,2025,Northwestern,2025-26,23,OKC,21,0,0,160,12,27,11,21,1,6,4,6,7,31,38,9,3,2,3,12,29,.444,.524,.167,.667,.489,.463,G,barnhbr01
3,Joan Beringer,MIN,1,17,2025,,2025-26,19,MIN,13,0,0,58,11,17,11,17,0,0,2,3,6,13,19,0,1,5,3,9,24,.647,.647,,.667,.655,.647,C,berinjo01
4,Koby Brea,GSW,2,41,2025,Kentucky,2025-26,23,PHO,2,0,0,8,1,3,1,1,0,2,2,2,0,1,1,2,0,0,0,0,4,.333,1.000,.000,1.000,.515,.333,G,breako01
5,Johni Broome,PHI,2,35,2025,Auburn,2025-26,23,PHI,7,0,0,40,4,20,4,17,0,3,2,4,6,7,13,4,2,0,2,5,10,.200,.235,.000,.500,.230,.200,F-C,broomjo01
6,Carter Bryant,SAS,1,14,2025,Arizona,2025-26,20,SAS,29,0,0,221,23,72,13,33,10,39,6,8,9,36,45,5,4,2,10,22,62,.319,.394,.256,.750,.410,.389,G-F,bryanca01
7,Walter Clayton,WAS,1,18,2025,Florida,2025-26,22,UTA,33,0,0,562,76,182,41,79,35,103,43,45,11,55,66,102,16,8,35,60,230,.418,.519,.340,.956,.570,.514,G,claytwa01
8,Nique Clifford,OKC,1,24,2025,Colorado State,2025-26,23,SAC,34,3,0,637,70,172,45,95,25,77,22,31,23,71,94,45,22,9,39,70,187,.407,.474,.325,.710,.504,.480,G,cliffni01
9,Cedric Coward,POR,1,11,2025,Washington State,2025-26,22,MEM,35,22,0,933,171,366,121,214,50,152,88,104,55,177,232,104,19,11,59,70,480,.467,.565,.329,.846,.583,.536,F-G,cowarce01
10,Egor Dёmin,NJN,1,8,2025,Brigham Young,2025-26,19,BRK,32,25,0,790,115,288,38,90,77,198,28,33,16,91,107,111,31,10,59,60,335,.399,.422,.389,.848,.554,.533,G,demineg01
11,Mohamed Diawara,LAC,2,51,2025,,2025-26,20,NYK,30,4,0,154,22,55,10,25,12,30,1,4,5,21,26,14,8,4,8,16,57,.400,.400,.400,.250,.502,.509,F-C,diawamo01
12,VJ Edgecombe,PHI,1,3,2025,Baylor,2025-26,20,PHI,32,32,0,1148,192,449,121,259,71,190,59,75,58,119,177,136,50,17,53,100,514,.428,.467,.374,.787,.533,.507,G-F,edgecvj01
13,Noa Essengue,CHI,1,12,2025,,2025-26,19,CHI,2,0,0,6,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,.000,.000,.000,,.000,.000,F,essenno01
14,Jeremiah Fears,NOH,1,7,2025,Oklahoma,2025-26,19,NOP,40,38,0,1068,219,500,177,372,42,128,96,122,29,115,144,126,50,9,99,73,576,.438,.476,.328,.787,.520,.480,G,fearsje01
15,Cooper Flagg,DAL,1,1,2025,Duke,2025-26,19,DAL,37,37,0,1285,270,562,233,433,37,129,131,161,46,197,243,159,47,29,82,87,708,.480,.538,.287,.814,.559,.513,F-G,flaggco01
16,Rasheer Fleming,MIN,2,31,2025,Saint Joseph's,2025-26,21,PHO,22,0,0,152,22,61,14,26,8,35,7,9,16,13,29,3,5,6,3,18,59,.361,.538,.229,.778,.454,.426,F,flemira01
17,Hugo González,BOS,1,28,2025,,2025-26,19,BOS,32,1,0,481,54,109,37,63,17,46,9,17,30,77,107,19,22,10,20,62,134,.495,.587,.370,.529,.575,.573,G-F,gonzahu01
18,Dylan Harper,SAS,1,2,2025,Rutgers,2025-26,19,SAS,27,0,0,578,118,270,101,202,17,68,44,61,23,64,87,99,29,5,40,53,297,.437,.500,.250,.721,.500,.469,G,harpedy01
19,DaRon Holmes,PHO,1,22,2024,Dayton,2025-26,23,DEN,9,5,0,123,13,29,3,7,10,22,5,6,3,12,15,13,0,4,4,9,41,.448,.429,.455,.833,.648,.621,F,holmeda01
20,Kasparas Jakučionis,MIA,1,20,2025,Illinois,2025-26,19,MIA,12,1,0,169,15,45,3,19,12,26,10,10,9,14,23,12,8,0,7,17,52,.333,.158,.462,1.000,.526,.467,G,jakucka01
21,Sion James,CHA,2,33,2025,Duke,2025-26,23,CHO,38,16,0,979,76,187,33,73,43,114,52,61,20,105,125,69,23,16,32,65,247,.406,.452,.377,.852,.578,.521,G,jamessi01
22,Tre Johnson,WAS,1,6,2025,Texas,2025-26,19,WAS,30,12,0,718,132,290,72,139,60,151,44,48,14,73,87,55,21,10,47,54,368,.455,.518,.397,.917,.591,.559,G,johnstr03
23,Kam Jones,SAS,2,38,2025,Marquette,2025-26,23,IND,8,0,0,48,8,15,7,10,1,5,0,0,1,2,3,6,2,0,0,4,17,.533,.700,.200,,.567,.567,G,joneska03
24,Ryan Kalkbrenner,CHA,2,34,2025,Creighton,2025-26,24,CHO,26,25,0,665,96,122,96,120,0,2,34,47,67,100,167,16,18,47,30,48,226,.787,.800,.000,.723,.792,.787,C,kalkbry01
25,Kon Knueppel,CHA,1,4,2025,Duke,2025-26,20,CHO,37,36,0,1216,244,516,112,207,132,309,93,105,38,156,194,130,24,8,87,89,713,.473,.541,.427,.886,.634,.601,G-F,knuepko01
26,Yanic Konan Niederhäuser,LAC,1,30,2025,Penn State,2025-26,22,LAC,20,0,0,162,24,39,24,38,0,1,13,23,18,23,41,6,2,8,8,22,61,.615,.632,.000,.565,.621,.615,F,konanya01
27,Chaz Lanier,DET,2,37,2025,Tennessee,2025-26,24,DET,16,0,0,153,17,48,3,7,14,41,5,5,6,9,15,12,5,0,1,5,53,.354,.429,.341,1.000,.528,.500,G,laniech01
28,Khaman Maluach,HOU,1,10,2025,Duke,2025-26,19,PHO,17,0,0,79,8,19,8,14,0,5,7,8,5,12,17,3,1,7,8,14,23,.421,.571,.000,.875,.511,.421,C,maluakh01
29,Alijah Martin,TOR,2,39,2025,Florida,2025-26,24,TOR,4,0,0,23,3,8,2,3,1,5,0,0,0,1,1,3,1,1,1,0,7,.375,.667,.200,,.438,.438,G,martial01
30,Jahmai Mashack,HOU,2,59,2025,Tennessee,2025-26,23,MEM,7,0,0,25,2,8,0,2,2,6,0,0,0,5,5,2,1,0,3,1,6,.250,.000,.333,,.375,.375,G,mashaja01
31,Liam McNeeley,PHO,1,29,2025,Connecticut,2025-26,20,CHO,27,0,0,336,34,86,12,28,22,58,25,31,11,48,59,23,5,3,12,35,115,.395,.429,.379,.806,.577,.523,G-F,mcneeli01
32,Collin Murray-Boyles,TOR,1,9,2025,South Carolina,2025-26,20,TOR,32,8,0,630,93,175,78,134,15,41,25,42,73,73,146,53,27,17,35,82,226,.531,.582,.366,.595,.584,.574,F,murraco01
33,Asa Newell,IND,1,23,2025,Georgia,2025-26,20,ATL,29,0,0,317,60,106,36,54,24,52,10,19,25,34,59,16,10,9,16,48,154,.566,.667,.462,.526,.673,.679,F,newelas01
34,Lachlan Olbrich,LAL,2,55,2025,,2025-26,22,CHI,7,0,0,63,2,9,2,5,0,4,0,2,6,12,18,6,0,0,4,15,4,.222,.400,.000,.000,.202,.222,F-C,olbrila01
35,Micah Peavy,WAS,2,40,2025,Georgetown,2025-26,24,NOP,34,1,0,532,67,168,52,109,15,59,11,15,30,44,74,37,21,5,11,59,160,.399,.477,.254,.733,.458,.443,G,peavymi01
36,Noah Penda,BOS,2,32,2025,,2025-26,21,ORL,24,1,0,312,42,94,27,59,15,35,12,23,41,56,97,27,12,11,18,29,111,.447,.458,.429,.522,.533,.527,G-F,pendano01
37,Taelon Peter,IND,2,54,2025,Liberty,2025-26,23,IND,21,0,0,122,10,34,1,2,9,32,4,6,6,13,19,14,3,2,9,7,33,.294,.500,.281,.667,.450,.426,G,peterta01
38,Drake Powell,ATL,1,22,2025,North Carolina,2025-26,20,BRK,26,1,0,470,53,116,35,61,18,55,28,31,6,35,41,43,16,5,26,41,152,.457,.574,.327,.903,.586,.534,G-F,poweldr01
39,Tyrese Proctor,CLE,2,49,2025,Duke,2025-26,21,CLE,26,1,0,289,42,122,19,45,23,77,19,23,5,29,34,35,8,0,11,26,126,.344,.422,.299,.826,.477,.439,G,proctty01
40,Derik Queen,ATL,1,13,2025,Maryland,2025-26,21,NOP,39,27,0,1018,195,393,188,354,7,39,106,137,65,226,291,167,41,38,97,119,503,.496,.531,.179,.774,.555,.505,F-C,queende01
41,Maxime Raynaud,SAC,2,42,2025,Stanford,2025-26,22,SAC,30,16,0,702,132,237,125,214,7,23,41,57,57,137,194,33,13,17,31,80,312,.557,.584,.304,.719,.595,.572,F,raynama01
42,Jase Richardson,ORL,1,25,2025,Michigan State,2025-26,20,ORL,27,0,0,322,60,118,40,71,20,47,21,30,14,25,39,36,8,2,17,27,161,.508,.563,.426,.700,.614,.593,G,richaja02
43,Will Richard,MEM,2,56,2025,Florida,2025-26,23,GSW,34,13,0,645,91,178,50,71,41,107,33,41,35,56,91,38,33,2,25,64,256,.511,.704,.383,.805,.653,.626,G,richawi02
44,Will Riley,UTA,1,21,2025,Illinois,2025-26,19,WAS,29,0,0,365,52,122,42,82,10,40,24,30,21,35,56,35,11,4,21,21,138,.426,.512,.250,.800,.510,.467,F,rileywi01
45,Kobe Sanders,NYK,2,50,2025,Nevada,2025-26,23,LAC,29,4,0,577,66,149,40,80,26,69,26,30,13,54,67,47,18,4,40,66,184,.443,.500,.377,.867,.567,.530,G,sandeko01
46,Ben Saraf,NJN,1,26,2025,,2025-26,19,BRK,12,5,0,203,22,62,13,29,9,33,12,15,5,14,19,34,8,3,23,15,65,.355,.448,.273,.800,.474,.427,G,sarafbe01
47,Javon Small,MEM,2,48,2025,West Virginia,2025-26,23,MEM,14,0,0,176,19,56,9,25,10,31,12,15,5,15,20,46,4,2,18,18,60,.339,.360,.323,.800,.479,.429,G,smallja01
48,Adou Thiero,NJN,2,36,2025,Arkansas,2025-26,21,LAL,15,0,0,87,7,18,7,17,0,1,6,8,7,11,18,5,5,1,4,15,20,.389,.412,.000,.750,.465,.389,G-F,thierad01
49,Nolan Traoré,NJN,1,19,2025,,2025-26,19,BRK,15,0,0,235,23,69,12,35,11,34,7,9,1,17,18,32,7,5,17,21,64,.333,.343,.324,.778,.439,.413,G,traorno01
50,Jamir Watkins,UTA,2,43,2025,Florida State,2025-26,24,WAS,14,2,0,162,14,28,9,11,5,17,8,8,5,29,34,6,4,3,5,26,41,.500,.818,.294,1.000,.650,.589,F-G,watkija01
51,Amari Williams,ORL,2,46,2025,Kentucky,2025-26,24,BOS,6,0,0,31,1,2,1,2,0,0,1,2,2,5,7,1,1,2,0,4,3,.500,.500,,.500,.521,.500,F,william01
52,Danny Wolf,NJN,1,27,2025,Michigan,2025-26,21,BRK,21,2,0,406,56,143,34,81,22,62,24,28,20,64,84,40,11,5,25,30,158,.392,.420,.355,.857,.509,.469,F-C,wolfda01
53,Yang Hansen,MEM,1,16,2025,,2025-26,20,POR,22,1,0,184,18,62,14,34,4,28,15,16,10,29,39,17,1,8,18,29,55,.290,.412,.143,.938,.398,.323,C,yangha01
54,Adem Bona,PHI,2,41,2024,UCLA,2024-25,21,PHI,58,11,0,905,135,192,135,191,0,1,67,100,92,153,245,27,26,69,61,125,337,.703,.707,.000,.670,.714,.703,C-F,bonaad01
55,Matas Buzelis,CHI,1,11,2024,,2024-25,20,CHI,80,31,0,1511,252,555,156,289,96,266,88,108,55,223,278,79,29,75,74,128,688,.454,.540,.361,.815,.571,.541,F,buzelma01
56,Bub Carrington,POR,1,14,2024,Pittsburgh,2024-25,19,WAS,82,57,0,2458,300,748,162,341,138,407,69,85,33,308,341,364,54,21,141,190,807,.401,.475,.339,.812,.514,.493,G,carrica01
57,Devin Carter,SAC,1,13,2024,Providence,2024-25,22,SAC,36,0,0,396,47,127,29,66,18,61,26,44,19,57,76,41,21,4,18,39,138,.370,.439,.295,.591,.471,.441,G,cartede02
58,Stephon Castle,SAS,1,4,2024,Connecticut,2024-25,20,SAS,81,47,0,2162,423,988,328,655,95,333,249,344,89,208,297,332,74,22,177,164,1190,.428,.501,.285,.724,.522,.476,G,castlst01
59,Ulrich Chomche,MEM,2,57,2024,,2024-25,19,TOR,7,0,0,32,2,5,2,5,0,0,1,2,4,4,8,2,0,1,2,5,5,.400,.400,,.500,.425,.400,F-C,chomcul01
60,Cam Christie,LAC,2,46,2024,Minnesota,2024-25,19,LAC,13,0,0,59,7,24,5,11,2,13,2,4,3,9,12,6,5,1,2,4,18,.292,.455,.154,.500,.349,.333,G,chrisca02
61,Jaylen Clark,MIN,2,53,2023,UCLA,2024-25,23,MIN,40,4,0,522,56,120,34,69,22,51,29,37,26,27,53,26,36,2,8,61,163,.467,.493,.431,.784,.598,.558,G,clarkja02
62,Donovan Clingan,POR,1,7,2024,Connecticut,2024-25,20,POR,67,37,0,1324,180,334,166,285,14,49,62,104,217,310,527,77,34,110,72,189,436,.539,.582,.286,.596,.574,.560,C,clingdo01
63,Isaiah Collier,UTA,1,29,2024,Southern California,2024-25,20,UTA,71,46,0,1839,234,555,192,386,42,169,105,154,32,203,235,446,66,16,208,149,615,.422,.497,.249,.682,.494,.459,G,colliis01
64,Pacome Dadiet,NYK,1,25,2024,,2024-25,19,NYK,18,0,0,111,10,31,4,12,6,19,4,6,3,15,18,5,3,2,4,7,30,.323,.333,.316,.667,.446,.419,F,dadiepa01
65,Tristan Da Silva,ORL,1,18,2024,Colorado,2024-25,23,ORL,74,38,0,1629,199,483,119,244,80,239,55,63,73,172,245,113,33,18,56,94,533,.412,.488,.335,.873,.522,.495,F,dasiltr01
66,Rob Dillingham,SAS,1,8,2024,Kentucky,2024-25,20,MIN,49,1,0,516,93,211,68,137,25,74,8,15,12,38,50,98,20,1,53,37,219,.441,.496,.338,.533,.503,.500,G,dilliro01
67,Ryan Dunn,DEN,1,28,2024,Virginia,2024-25,22,PHO,74,44,0,1410,205,477,123,213,82,264,19,39,92,175,267,57,44,40,40,162,511,.430,.577,.311,.487,.517,.516,F,dunnry01
68,Zach Edey,MEM,1,9,2024,Purdue,2024-25,22,MEM,66,55,0,1416,251,433,233,381,18,52,90,127,232,316,548,65,36,85,88,182,610,.580,.612,.346,.709,.624,.600,C,edeyza01
69,Kyle Filipowski,UTA,2,32,2024,Duke,2024-25,21,UTA,72,27,0,1522,260,518,183,298,77,220,93,143,112,328,440,140,48,22,102,171,690,.502,.614,.350,.650,.594,.576,F-C,filipky01
70,Enrique Freeman,IND,2,50,2024,Akron,2024-25,24,IND,22,1,0,181,16,37,15,27,1,10,13,19,11,19,30,9,3,3,6,21,46,.432,.556,.100,.684,.507,.446,F,freemen01
71,Johnny Furphy,SAS,2,35,2024,Kansas,2024-25,20,IND,50,0,0,379,35,92,20,42,15,50,18,22,23,48,71,19,18,11,12,41,103,.380,.476,.300,.818,.506,.462,G-F,furphjo01
72,Kyshawn George,NYK,1,24,2024,Miami (FL),2024-25,21,WAS,68,38,0,1802,203,546,89,192,114,354,70,93,49,236,285,169,68,50,97,201,590,.372,.464,.322,.753,.503,.476,G,georgky01
73,Ron Holland,DET,1,5,2024,,2024-25,19,DET,81,2,0,1266,197,416,161,265,36,151,92,122,40,178,218,82,49,17,72,141,522,.474,.608,.238,.754,.556,.517,F,hollaro01
74,Ariel Hukporti,DAL,2,58,2024,,2024-25,22,NYK,25,1,0,217,21,31,21,31,0,0,6,13,14,37,51,11,1,15,21,32,48,.677,.677,,.462,.654,.677,C,hukpoar01
75,Oso Ighodaro,POR,2,40,2024,Marquette,2024-25,22,PHO,61,6,0,1045,113,187,113,185,0,2,29,50,66,156,222,71,28,29,39,102,255,.604,.611,.000,.580,.610,.604,F,ighodos01
76,Harrison Ingram,SAS,2,48,2024,North Carolina,2024-25,22,SAS,5,0,0,35,2,4,2,3,0,1,0,0,2,7,9,3,3,0,1,2,4,.500,.667,.000,,.500,.500,F,ingraha01
77,Bronny James,LAL,2,55,2024,Southern California,2024-25,20,LAL,27,1,0,181,21,67,12,35,9,32,11,14,4,14,18,22,9,3,13,13,62,.313,.343,.281,.786,.424,.381,G,jamesbr02
78,AJ Johnson,MIL,1,23,2024,,2024-25,20,MILWAS,29,11,0,639,82,213,58,123,24,90,32,37,8,51,59,76,12,3,35,50,220,.385,.472,.267,.865,.480,.441,G,johnsaj01
79,Dillon Jones,WAS,1,26,2024,Weber State,2024-25,23,OKC,54,3,0,551,51,133,35,70,16,63,17,28,30,91,121,58,16,4,28,54,135,.383,.500,.254,.607,.464,.444,F,jonesdi01
80,Bobi Klintman,MIN,2,37,2024,,2024-25,21,DET,8,0,0,42,6,10,4,5,2,5,1,2,1,6,7,7,2,1,1,8,15,.600,.800,.400,.500,.689,.700,F,klintbo01
81,Dalton Knecht,LAL,1,17,2024,Tennessee,2024-25,23,LAL,78,16,0,1494,257,557,129,217,128,340,64,84,37,179,216,66,24,8,37,93,706,.461,.594,.376,.762,.594,.576,G,knechda01
82,Tyler Kolek,POR,2,34,2024,Marquette,2024-25,23,NYK,41,0,0,296,27,82,13,35,14,47,13,17,8,19,27,70,12,4,18,26,81,.329,.371,.298,.765,.453,.415,G,kolekty01
83,Pelle Larsson,HOU,2,44,2024,Arizona,2024-25,23,MIA,55,8,0,782,89,203,57,108,32,95,41,61,28,64,92,65,32,7,24,91,251,.438,.528,.337,.672,.546,.517,G,larsspe01
84,Karlo Matković,NOH,2,52,2022,,2024-25,23,NOP,42,7,0,791,135,235,114,169,21,66,34,44,64,145,209,46,22,41,43,106,325,.574,.675,.318,.773,.639,.619,F-C,matkoka01
85,Jared McCain,PHI,1,16,2024,Duke,2024-25,20,PHI,23,8,0,592,126,274,75,141,51,133,49,56,13,43,56,60,15,0,37,37,352,.460,.532,.383,.875,.589,.553,G,mccaija01
86,Kevin McCullar Jr.,PHO,2,56,2024,Kansas,2024-25,23,NYK,4,0,0,29,2,7,2,6,0,1,2,2,0,8,8,2,1,1,0,6,6,.286,.333,.000,1.000,.381,.286,G,mcculke01
87,Yves Missi,NOH,1,21,2024,Baylor,2024-25,20,NOP,73,67,0,1956,269,492,269,491,0,1,127,204,255,346,601,99,37,98,82,145,665,.547,.548,.000,.623,.572,.547,C,missiyv01
88,Ajay Mitchell,NYK,2,38,2024,UC Santa Barbara,2024-25,22,OKC,36,1,0,597,91,184,68,124,23,60,29,35,18,50,68,64,25,4,29,68,234,.495,.548,.383,.829,.587,.557,G,mitchaj01
89,Jonathan Mogbo,TOR,2,31,2024,San Francisco,2024-25,23,TOR,63,18,0,1286,156,356,139,286,17,70,60,82,109,202,311,146,55,34,70,136,389,.438,.486,.243,.732,.496,.462,F,mogbojo01
90,Tristen Newton,IND,2,49,2024,Connecticut,2024-25,23,INDMIN,8,0,0,16,1,8,1,5,0,3,1,1,2,2,4,2,1,0,2,4,3,.125,.200,.000,1.000,.178,.125,G,newtotr01
91,Quinten Post,GSW,2,52,2024,Boston College,2024-25,24,GSW,42,14,0,686,123,274,50,95,73,179,21,27,35,113,148,56,16,18,33,83,340,.449,.526,.408,.778,.595,.582,F,postqu01
92,Antonio Reeves,ORL,2,47,2024,Kentucky,2024-25,24,NOP,44,6,0,660,113,248,62,119,51,129,28,35,18,45,63,39,21,4,30,40,305,.456,.521,.395,.800,.579,.558,G,reevean01
93,Zaccharie Risacher,ATL,1,1,2024,,2024-25,19,ATL,75,73,0,1843,357,779,235,435,122,344,106,149,86,182,268,92,52,37,92,149,942,.458,.540,.355,.711,.558,.537,F,risacza01
94,Tidjane Salaün,CHA,1,6,2024,,2024-25,19,CHO,60,10,0,1244,114,345,56,140,58,205,67,94,70,210,280,74,29,14,58,84,353,.330,.400,.283,.713,.457,.414,F,salauti01
95,Alex Sarr,WAS,1,2,2024,,2024-25,19,WAS,67,67,0,1814,326,828,221,487,105,341,112,165,124,311,435,161,44,101,114,146,869,.394,.454,.308,.679,.482,.457,F,sarral01
96,Baylor Scheierman,BOS,1,30,2024,Creighton,2024-25,24,BOS,31,2,0,384,39,110,13,28,26,82,9,12,19,46,65,33,17,2,12,22,113,.355,.464,.317,.750,.490,.473,G,scheiba01
97,Terrence Shannon Jr.,MIN,1,27,2024,Illinois,2024-25,24,MIN,32,1,0,339,55,114,44,83,11,31,17,21,10,37,47,32,7,5,15,27,138,.482,.530,.355,.810,.560,.531,G,shannte01
98,Jamal Shead,SAC,2,45,2024,Houston,2024-25,22,TOR,75,11,0,1467,204,504,132,281,72,223,53,69,30,85,115,316,58,10,117,158,533,.405,.470,.323,.768,.499,.476,G,sheadja01
99,Reed Sheppard,HOU,1,3,2024,Kentucky,2024-25,20,HOU,52,3,0,654,84,239,36,97,48,142,13,16,16,62,78,75,35,17,37,53,229,.351,.371,.338,.813,.465,.452,G,sheppre01
100,KJ Simpson,CHA,2,42,2024,Colorado,2024-25,22,CHO,36,15,0,842,104,301,71,171,33,130,41,50,39,70,109,112,34,6,56,56,282,.346,.415,.254,.820,.437,.400,G,simpskj01
101,Tyler Smith,MIL,2,33,2024,,2024-25,20,MIL,23,0,0,122,24,50,11,20,13,30,6,8,6,19,25,4,3,4,8,11,67,.480,.550,.433,.750,.626,.610,F,smithty02
102,Cam Spencer,DET,2,53,2024,Connecticut,2024-25,24,MEM,25,1,0,252,34,82,15,30,19,52,19,19,12,18,30,34,9,1,6,23,106,.415,.500,.365,1.000,.587,.530,G,spencca01
103,Luke Travers,CLE,2,56,2022,,2024-25,23,CLE,12,0,0,88,5,20,5,11,0,9,2,2,8,12,20,8,1,1,8,6,12,.250,.455,.000,1.000,.287,.250,G,travelu01
104,Jaylon Tyson,CLE,1,20,2024,California,2024-25,22,CLE,47,3,0,453,64,149,44,91,20,58,19,24,37,59,96,44,13,3,26,50,167,.430,.484,.345,.792,.523,.497,G,tysonja01
105,Ja'Kobe Walter,TOR,1,19,2024,Baylor,2024-25,20,TOR,52,18,0,1103,159,393,94,207,65,186,66,83,59,101,160,81,43,10,50,95,449,.405,.454,.349,.795,.523,.487,G,walteja01
106,Kel'el Ware,MIA,1,15,2024,Indiana,2024-25,20,MIA,64,36,0,1422,257,464,222,353,35,111,46,67,116,357,473,60,39,71,57,111,595,.554,.629,.315,.687,.603,.592,C,wareke01
107,Anton Watson,BOS,2,54,2024,Gonzaga,2024-25,24,NYK,9,0,0,22,4,9,4,8,0,1,0,0,1,2,3,2,1,0,2,3,8,.444,.500,.000,,.444,.444,F,watsoan02
108,Jaylen Wells,MEM,2,39,2024,Washington State,2024-25,21,MEM,79,74,0,2043,287,676,149,284,138,392,111,135,87,181,268,135,44,8,69,146,823,.425,.525,.352,.822,.560,.527,F,wellsja01
109,Cody Williams,UTA,1,10,2024,Colorado,2024-25,20,UTA,50,21,0,1060,83,257,48,122,35,135,29,40,27,86,113,59,23,16,44,95,230,.323,.393,.259,.725,.419,.391,G-F,willico04
110,Amari Bailey,CHA,2,41,2023,UCLA,2023-24,19,CHO,10,0,0,65,8,24,7,16,1,8,6,7,6,3,9,7,3,0,4,2,23,.333,.438,.125,.857,.425,.354,G,baileam01
111,Emoni Bates,CLE,2,49,2023,Eastern Michigan,2023-24,20,CLE,15,0,0,133,15,49,5,16,10,33,1,4,1,13,14,10,1,2,8,5,41,.306,.313,.303,.250,.404,.408,G,batesem01
112,Anthony Black,ORL,1,6,2023,Arkansas,2023-24,20,ORL,69,33,0,1164,115,247,78,153,37,94,49,80,33,106,139,91,35,21,56,110,316,.466,.510,.394,.613,.560,.540,G,blackan01
113,Kobe Brown,LAC,1,30,2023,Missouri,2023-24,24,LAC,44,0,0,394,37,90,23,42,14,48,1,2,20,42,62,25,12,6,9,49,89,.411,.548,.292,.500,.490,.489,G-F,brownko01
114,Kobe Bufkin,ATL,1,15,2023,Michigan,2023-24,20,ATL,17,0,0,196,34,92,25,52,9,40,4,8,6,27,33,27,7,5,10,20,81,.370,.481,.225,.500,.424,.418,G,bufkiko01
115,Toumani Camara,PHO,2,52,2023,Dayton,2023-24,23,POR,70,49,0,1739,197,438,139,266,58,172,75,99,139,204,343,87,66,33,84,174,527,.450,.523,.337,.758,.547,.516,F,camarto01
116,Sidy Cissoko,SAS,2,44,2023,,2023-24,19,SAS,12,0,0,141,16,33,15,21,1,12,12,15,8,14,22,10,7,3,3,18,45,.485,.714,.083,.800,.568,.500,G,cissosi01
117,Noah Clowney,NJN,1,21,2023,Alabama,2023-24,19,BRK,23,4,0,370,50,93,38,60,12,33,21,30,26,55,81,18,8,16,15,25,133,.538,.633,.364,.700,.626,.602,F,clownno01
118,Bilal Coulibaly,IND,1,7,2023,,2023-24,19,WAS,63,15,0,1715,188,432,124,247,64,185,92,131,56,200,256,110,57,48,87,137,532,.435,.502,.346,.702,.543,.509,F,coulibi01
119,Gradey Dick,TOR,1,13,2023,Kansas,2023-24,20,TOR,60,17,0,1268,189,445,101,204,88,241,44,51,27,105,132,68,34,2,50,87,510,.425,.495,.365,.863,.546,.524,G,dickgr01
120,Keyonte George,UTA,1,16,2023,Baylor,2023-24,20,UTA,75,44,0,2023,319,815,172,375,147,440,189,223,15,196,211,332,36,7,188,91,974,.391,.459,.334,.848,.533,.482,G,georgke01
121,Mouhamed Gueye,CHA,2,39,2023,Washington State,2023-24,21,ATL,6,0,0,73,8,23,5,14,3,9,5,6,10,12,22,4,5,4,1,13,24,.348,.357,.333,.833,.468,.413,F,gueyemo02
122,Jordan Hawkins,NOH,1,14,2023,Connecticut,2023-24,21,NOP,67,10,0,1160,174,456,65,158,109,298,67,80,29,119,148,70,19,7,40,72,524,.382,.411,.366,.838,.533,.501,G,hawkijo01
123,Scoot Henderson,POR,1,3,2023,,2023-24,19,POR,62,32,0,1765,307,797,220,529,87,268,167,204,53,141,194,336,48,13,212,195,868,.385,.416,.325,.819,.489,.440,G,hendesc01
124,Taylor Hendricks,UTA,1,9,2023,UCF,2023-24,20,UTA,40,23,0,856,108,240,55,100,53,140,23,29,46,139,185,32,28,30,27,77,292,.450,.550,.379,.793,.578,.560,F,hendrta01
125,Chet Holmgren,OKC,1,2,2022,Gonzaga,2023-24,21,OKC,82,82,0,2413,505,953,376,604,129,349,218,275,129,519,648,200,53,190,131,197,1357,.530,.623,.370,.793,.632,.598,F-C,holmgch01
126,Jalen Hood-Schifino,LAL,1,17,2023,Indiana,2023-24,20,LAL,21,0,0,109,10,45,8,30,2,15,12,20,2,11,13,8,3,2,9,13,34,.222,.267,.133,.600,.316,.244,G,hoodsja01
127,Jett Howard,ORL,1,11,2023,Michigan,2023-24,20,ORL,18,0,0,67,10,30,3,5,7,25,2,4,1,6,7,6,2,2,3,4,29,.333,.600,.280,.500,.457,.450,G,howarje01
128,Andre Jackson Jr.,ORL,2,36,2023,Connecticut,2023-24,22,MIL,57,8,0,572,50,100,33,54,17,46,8,11,43,70,113,50,16,6,28,92,125,.500,.611,.370,.727,.596,.585,G,jacksan01
129,GG Jackson II,MEM,2,45,2023,South Carolina,2023-24,19,MEM,48,18,0,1233,241,563,139,277,102,286,115,153,53,143,196,59,28,24,65,64,699,.428,.502,.357,.752,.554,.519,F,jacksgg01
130,Trayce Jackson-Davis,WAS,2,57,2023,Indiana,2023-24,23,GSW,68,16,0,1130,233,332,233,331,0,1,74,132,135,206,341,82,29,76,49,108,540,.702,.704,.000,.561,.692,.702,F,jackstr02
131,Jaime Jaquez Jr.,MIA,1,18,2023,UCLA,2023-24,22,MIA,75,20,0,2113,341,697,276,495,65,202,142,175,82,203,285,195,77,20,110,167,889,.489,.558,.322,.811,.574,.536,G-F,jaqueja01
