Rk,Player,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1106,Jason Maxiell,DET,1,26,2005,Cincinnati,2005-06,22,DET,26,0,0,159,23,54,23,54,0,0,14,42,12,16,28,3,4,5,11,14,60,.426,.426,,.333,.414,.426,F-C,maxieja01
1107,Sean May,CHA,1,13,2005,North Carolina,2005-06,21,CHA,23,1,0,398,70,171,70,166,0,5,49,64,42,67,109,22,17,12,33,58,189,.409,.422,.000,.766,.474,.409,F-C,mayse01
1108,Rashad McCants,MIN,1,14,2005,North Carolina,2005-06,21,MIN,79,12,0,1362,241,535,174,355,67,180,78,106,29,114,143,63,44,22,86,176,627,.450,.490,.372,.736,.539,.513,G,mccanra01
1109,C.J. Miles,UTA,2,34,2005,,2005-06,18,UTA,23,0,0,203,28,76,23,56,5,20,18,24,18,20,38,16,7,2,9,20,79,.368,.411,.250,.750,.456,.401,G-F,milescj01
1110,Sergei Monia,POR,1,23,2004,,2005-06,22,PORSAC,26,15,0,343,29,87,20,53,9,34,10,14,11,41,52,19,7,5,12,41,77,.333,.377,.265,.714,.413,.385,F,moniase01
1111,Chris Paul,NOH,1,4,2005,Wake Forest,2005-06,20,NOK,78,78,0,2808,407,947,357,770,50,177,394,465,61,339,400,611,175,6,183,218,1258,.430,.464,.282,.847,.546,.456,G,paulch01
1112,Johan Petro,OKC,1,25,2005,,2005-06,20,SEA,68,41,0,1282,153,300,153,300,0,0,47,75,109,187,296,15,25,51,60,213,353,.510,.510,,.627,.530,.510,C,petrojo01
1113,Lawrence Roberts,OKC,2,55,2005,Mississippi State,2005-06,23,MEM,33,0,0,181,20,44,20,42,0,2,11,23,26,23,49,5,8,2,5,30,51,.455,.476,.000,.478,.471,.455,F,roberla01
1114,Nate Robinson,PHO,1,21,2005,Washington,2005-06,21,NYK,72,26,0,1544,230,565,172,419,58,146,152,202,56,111,167,147,59,1,114,201,670,.407,.411,.397,.752,.512,.458,G,robinna01
1115,Wayne Simien,MIA,1,29,2005,Kansas,2005-06,22,MIA,43,2,0,414,58,120,58,120,0,0,30,34,38,50,88,7,13,1,24,70,146,.483,.483,,.882,.541,.483,F,simiewa01
