player_id,minutes,rookie_season
920,1411.8183333333334,2001
2062,628.5383333333333,2001
243,2390.7266666666665,2001
1425,2334.0016666666666,2001
228,841.8583333333333,2001
1502,1460.31,2001
1559,375.875,2001
1733,1892.62,2001
673,1807.9883333333332,2001
275,2857.846666666667,2001
947,2975.858333333333,2001
297,305.96666666666664,2001
1541,2391.286666666667,2001
1889,2846.5316666666668,2001
692,900.0216666666666,2001
1950,0.5516666666666666,2001
358,110.295,2001
1712,3393.12,2001
1853,1633.555,2001
924,200.045,2001
1533,510.66833333333335,2001
193,3254.9816666666666,2001
292,11.483333333333333,2001
324,2121.68,2001
952,3393.445,2001
1498,2062.608333333333,2001
213,2731.105,2001
176,71.4,2001
686,2556.5866666666666,2001
1609,18.69,2001
717,1294.69,2001
1506,1873.8383333333334,2001
422,1288.3966666666668,2001
1884,3189.1266666666666,2001
1112,2761.3566666666666,2001
223,192.33166666666668,2001
182,796.4333333333333,2001
902,802.515,2001
448,2537.3966666666665,2001
682,1682.26,2001
1517,1647.63,2001
1719,1995.535,2001
1802,1437.0666666666666,2001
699,1780.8233333333333,2001
85,29.866666666666667,2001
1510,1461.455,2001
2073,124.26166666666667,2001
258,2773.8166666666666,2001
216,1831.02,2001
1730,582.8716666666667,2001
1477,2687.4,2001
1743,122.35333333333334,2001
735,1829.255,2001
179,2506.8083333333334,2001
1724,1303.49,2001
935,2474.26,2001
1898,374.0883333333333,2001
384,152.27166666666668,2001
1916,929.3366666666667,2001
435,546.9166666666666,2001
76,557.0633333333334,2001
1538,961.24,2001
891,2767.24,2001
369,1494.6066666666666,2001
1497,1793.3116666666667,2001
685,1053.7133333333334,2001
713,306.94666666666666,2001
164,1853.9033333333334,2001
1544,904.5466666666666,2001
201,610.99,2001
1612,148.505,2001
423,1673.8883333333333,2001
1914,408.27166666666665,2001
2036,1164.9966666666667,2001
168,493.6666666666667,2001
904,372.9166666666667,2001
2084,1145.0166666666667,2001
185,2834.9266666666667,2001
43,1533.2616666666668,2001
363,1658.8933333333334,2001
1088,2364.028333333333,2001
359,339.91,2001
221,2777.3233333333333,2001
361,2751.7183333333332,2001
1736,856.49,2001
1894,1361.42,2001
916,1306.105,2001
722,1686.7566666666667,2001
724,223.43833333333333,2001
2042,1373.9116666666666,2001
1749,3006.2233333333334,2001
905,2159.995,2001
2053,259.945,2001
1800,1415.665,2001
757,2652.83,2001
2061,240.67833333333334,2001
105,1305.83,2001
2082,58.46666666666667,2001
344,1082.6766666666667,2001
2091,579.66,2001
198,1687.07,2001
1504,203.01833333333335,2001
330,1300.1866666666667,2001
2032,2139.1633333333334,2001
353,2774.2316666666666,2001
239,174.81666666666666,2001
1032,541.815,2001
128,443.83166666666665,2001
764,2370.9066666666668,2001
2128,410.14,2001
133,3105.4416666666666,2001
766,8.966666666666667,2001
2052,295.6933333333333,2001
1051,836.0316666666666,2001
244,155.92333333333335,2001
209,956.67,2001
2035,1309.915,2001
1507,2859.5183333333334,2001
965,710.5483333333333,2001
400,491.5316666666667,2001
934,682.31,2001
1760,204.33833333333334,2001
365,985.5383333333333,2001
2046,1523.5283333333334,2001
96,395.635,2001
1904,591.1533333333333,2001
87,2593.185,2001
1901,930.92,2001
1717,3122.7533333333336,2001
931,76.37333333333333,2001
690,761.325,2001
2051,63.876666666666665,2001
923,2328.6116666666667,2001
57,2940.67,2001
77,475.85,2001
28,172.65166666666667,2001
1434,599.0566666666666,2001
190,382.95666666666665,2001
1863,149.22833333333332,2001
2109,152.225,2001
2067,544.805,2001
224,2277.3866666666668,2001
1944,1202.2166666666667,2001
2059,432.59166666666664,2001
922,2338.625,2001
695,405.54,2001
386,498.50166666666667,2001
1882,2909.4883333333332,2001
1023,1290.17,2001
376,648.8616666666667,2001
15,2144.5216666666665,2001
727,1743.375,2001
677,1742.5383333333334,2001
2057,37.35666666666667,2001
956,1041.7233333333334,2001
1065,828.3833333333333,2001
911,1983.2783333333334,2001
1564,17.901666666666667,2001
1915,1335.345,2001
1732,1565.87,2001
280,112.28333333333333,2001
697,2245.1266666666666,2001
2123,15.7,2001
202,17.15,2001
56,3244.13,2001
718,322.0183333333333,2001
248,2648.5033333333336,2001
45,2002.7966666666666,2001
1562,704.7283333333334,2001
779,2211.681666666667,2001
299,2811.555,2001
255,132.20666666666668,2001
3,1511.2416666666666,2001
21,861.0266666666666,2001
1761,820.3733333333333,2001
323,453.49666666666667,2001
731,1488.3133333333333,2001
165,1543.205,2001
2069,988.685,2001
2045,1248.8116666666667,2001
