player_id,player,draft_year,rookie_season,age,height_in,weight_lbs,position,games,minutes,mpg,usg_pct,pts,reb,ast,stl,blk,tov,fga,fgm,fg_pct,fg3a,fg3m,fg3_pct,fta,ftm,ft_pct,ftr,off_rating,def_rating,net_rating,pace,bpm,vorp
2210.0,Richard Jefferson,2001.0,2002,,79.0,233.0,Forward,79,1919.4233333333327,24.29649789029536,,742.0,293.0,140.0,64.0,48.0,107.0,591.0,270.0,0.457,56.0,13.0,0.232,265.0,189.0,0.713,0.4483925549915397,,,,,,
2211.0,Troy Murphy,2001.0,2002,,83.0,245.0,Forward-Center,82,1450.3916666666669,17.68770325203252,,480.0,322.0,70.0,36.0,21.0,84.0,423.0,178.0,0.421,9.0,3.0,0.333,156.0,121.0,0.776,0.3687943262411347,,,,,,
2212.0,Steven Hunter,2001.0,2002,,84.0,240.0,Center,53,514.0466666666666,9.698993710691823,,189.0,97.0,5.0,5.0,43.0,16.0,147.0,67.0,0.456,0.0,0.0,0.0,94.0,55.0,0.585,0.6394557823129252,,,,,,
2215.0,Jason Collins,2001.0,2002,,84.0,255.0,Center,77,1403.1083333333331,18.222186147186147,,350.0,301.0,81.0,29.0,47.0,72.0,278.0,117.0,0.421,2.0,1.0,0.5,164.0,115.0,0.701,0.5899280575539568,,,,,,
2222.0,Gerald Wallace,2001.0,2002,,79.0,220.0,Forward,54,431.7166666666666,7.994753086419752,,173.0,89.0,27.0,19.0,6.0,22.0,175.0,75.0,0.429,7.0,0.0,0.0,46.0,23.0,0.5,0.2628571428571428,,,,,,
2224.0,Jamaal Tinsley,2001.0,2002,,75.0,188.0,Guard,80,2443.415,30.5426875,,751.0,298.0,647.0,138.0,40.0,270.0,760.0,289.0,0.38,175.0,42.0,0.24,186.0,131.0,0.704,0.2447368421052631,,,,,,
2225.0,Tony Parker,2001.0,2002,,74.0,185.0,Guard,77,2271.1783333333333,29.49582251082251,,705.0,197.0,334.0,89.0,7.0,151.0,639.0,268.0,0.419,189.0,61.0,0.323,160.0,108.0,0.675,0.2503912363067292,,,,,,
2239.0,Trenton Hassell,2001.0,2002,,77.0,227.0,Forward-Guard,78,2235.5783333333334,28.661260683760684,,681.0,255.0,172.0,55.0,44.0,101.0,628.0,267.0,0.425,165.0,60.0,0.364,114.0,87.0,0.763,0.1815286624203821,,,,,,
2242.0,Terence Morris,2001.0,2002,,,,,68,1115.2966666666666,16.401421568627452,,255.0,211.0,64.0,21.0,27.0,45.0,289.0,111.0,0.384,78.0,15.0,0.192,28.0,18.0,0.643,0.0968858131487889,,,,,,
2250.0,Bobby Simmons,2001.0,2002,,78.0,235.0,Forward,30,339.69666666666666,11.323222222222222,,112.0,52.0,17.0,13.0,5.0,14.0,95.0,43.0,0.453,14.0,4.0,0.286,30.0,22.0,0.733,0.3157894736842105,,,,,,
