
Rk,Player,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
36,Will Riley,UTA,1,21,2025,Illinois,2025-26,19,WAS,28,0,353,50,117,40,78,10,39,24,30,134,.427,.513,.256,.800,.515,.470,F,rileywi01
37,Koby Brea,GSW,2,41,2025,Kentucky,2025-26,23,PHO,2,0,8,1,3,1,1,0,2,2,2,4,.333,1.000,.000,1.000,.515,.333,G,breako01
38,Micah Peavy,WAS,2,40,2025,Georgetown,2025-26,24,NOP,31,1,460,56,144,44,95,12,49,11,15,135,.389,.463,.245,.733,.448,.431,G,peavymi01
39,Alijah Martin,TOR,2,39,2025,Florida,2025-26,24,TOR,3,0,8,0,1,0,1,0,0,0,0,0,.000,.000,,,.000,.000,G,martial01
40,Khaman Maluach,HOU,1,10,2025,Duke,2025-26,19,PHO,16,0,75,8,18,8,14,0,4,7,8,23,.444,.571,.000,.875,.534,.444,C,maluakh01
41,Noa Essengue,CHI,1,12,2025,,2025-26,19,CHI,2,0,6,0,3,0,1,0,2,0,0,0,.000,.000,.000,,.000,.000,F,essenno01
42,Jahmai Mashack,HOU,2,59,2025,Tennessee,2025-26,23,MEM,6,0,21,2,7,0,2,2,5,0,0,6,.286,.000,.400,,.429,.429,G,mashaja01
43,Lachlan Olbrich,LAL,2,55,2025,,2025-26,22,CHI,5,0,36,1,6,1,3,0,3,0,0,2,.167,.333,.000,,.167,.167,F-C,olbrila01
44,Ace Bailey,UTA,1,5,2025,Rutgers,2025-26,19,UTA,30,21,715,123,281,78,155,45,126,20,30,311,.438,.503,.357,.667,.529,.518,G-F,baileac01
45,Taelon Peter,IND,2,54,2025,Liberty,2025-26,23,IND,21,0,122,10,34,1,2,9,32,4,6,33,.294,.500,.281,.667,.450,.426,G,peterta01
46,Carter Bryant,SAS,1,14,2025,Arizona,2025-26,20,SAS,27,0,207,22,69,12,31,10,38,6,8,60,.319,.387,.263,.750,.414,.391,G-F,bryanca01
47,Johni Broome,PHI,2,35,2025,Auburn,2025-26,23,PHI,7,0,40,4,20,4,17,0,3,2,4,10,.200,.235,.000,.500,.230,.200,F-C,broomjo01
48,Nolan Traoré,NJN,1,19,2025,,2025-26,19,BRK,13,0,193,19,57,11,29,8,28,7,9,53,.333,.379,.286,.778,.435,.404,G,traorno01
49,Ben Saraf,NJN,1,26,2025,,2025-26,19,BRK,12,5,203,22,62,13,29,9,33,12,15,65,.355,.448,.273,.800,.474,.427,G,sarafbe01
50,Yang Hansen,MEM,1,16,2025,,2025-26,20,POR,19,1,152,15,52,12,30,3,22,13,14,46,.288,.400,.136,.929,.395,.317,C,yangha01
51,Nique Clifford,OKC,1,24,2025,Colorado State,2025-26,23,SAC,32,3,598,67,164,45,92,22,72,22,31,178,.409,.489,.306,.710,.501,.476,G,cliffni01
52,Jeremiah Fears,NOH,1,7,2025,Oklahoma,2025-26,19,NOP,37,35,990,203,461,164,347,39,114,90,115,535,.440,.473,.342,.783,.523,.483,G,fearsje01
