Rk,Player,USG%,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Tristen Newton,28.2,IND,2,49,2024,Connecticut,2024-25,23,INDMIN,8,0,0,16,1,8,1,5,0,3,1,1,2,2,4,2,1,0,2,4,3,.125,.200,.000,1.000,.178,.125,G,newtotr01
2,Stephon Castle,26.0,SAS,1,4,2024,Connecticut,2024-25,20,SAS,81,47,0,2162,423,988,328,655,95,333,249,344,89,208,297,332,74,22,177,164,1190,.428,.501,.285,.724,.522,.476,G,castlst01
3,Jared McCain,24.7,PHI,1,16,2024,Duke,2024-25,20,PHI,23,8,0,592,126,274,75,141,51,133,49,56,13,43,56,60,15,0,37,37,352,.460,.532,.383,.875,.589,.553,G,mccaija01
4,Alex Sarr,23.5,WAS,1,2,2024,,2024-25,19,WAS,67,67,0,1814,326,828,221,487,105,341,112,165,124,311,435,161,44,101,114,146,869,.394,.454,.308,.679,.482,.457,F,sarral01
5,Rob Dillingham,22.7,SAS,1,8,2024,Kentucky,2024-25,20,MIN,49,1,0,516,93,211,68,137,25,74,8,15,12,38,50,98,20,1,53,37,219,.441,.496,.338,.533,.503,.500,G,dilliro01
6,Tyler Smith,22.1,MIL,2,33,2024,,2024-25,20,MIL,23,0,0,122,24,50,11,20,13,30,6,8,6,19,25,4,3,4,8,11,67,.480,.550,.433,.750,.626,.610,F,smithty02
7,Anton Watson,21.7,BOS,2,54,2024,Gonzaga,2024-25,24,NYK,9,0,0,22,4,9,4,8,0,1,0,0,1,2,3,2,1,0,2,3,8,.444,.500,.000,,.444,.444,F,watsoan02
8,Bronny James,20.9,LAL,2,55,2024,Southern California,2024-25,20,LAL,27,1,0,181,21,67,12,35,9,32,11,14,4,14,18,22,9,3,13,13,62,.313,.343,.281,.786,.424,.381,G,jamesbr02
9,Zaccharie Risacher,20.9,ATL,1,1,2024,,2024-25,19,ATL,75,73,0,1843,357,779,235,435,122,344,106,149,86,182,268,92,52,37,92,149,942,.458,.540,.355,.711,.558,.537,F,risacza01
10,Cam Christie,20.5,LAC,2,46,2024,Minnesota,2024-25,19,LAC,13,0,0,59,7,24,5,11,2,13,2,4,3,9,12,6,5,1,2,4,18,.292,.455,.154,.500,.349,.333,G,chrisca02
11,Quinten Post,19.6,GSW,2,52,2024,Boston College,2024-25,24,GSW,42,14,0,686,123,274,50,95,73,179,21,27,35,113,148,56,16,18,33,83,340,.449,.526,.408,.778,.595,.582,F,postqu01
