Rk,Player,USG%,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
12,KJ Simpson,19.1,CHA,2,42,2024,Colorado,2024-25,22,CHO,36,15,0,842,104,301,71,171,33,130,41,50,39,70,109,112,34,6,56,56,282,.346,.415,.254,.820,.437,.400,G,simpskj01
13,Isaiah Collier,18.9,UTA,1,29,2024,Southern California,2024-25,20,UTA,71,46,0,1839,234,555,192,386,42,169,105,154,32,203,235,446,66,16,208,149,615,.422,.497,.249,.682,.494,.459,G,colliis01
14,Antonio Reeves,18.8,ORL,2,47,2024,Kentucky,2024-25,24,NOP,44,6,0,660,113,248,62,119,51,129,28,35,18,45,63,39,21,4,30,40,305,.456,.521,.395,.800,.579,.558,G,reevean01
15,Kyle Filipowski,18.7,UTA,2,32,2024,Duke,2024-25,21,UTA,72,27,0,1522,260,518,183,298,77,220,93,143,112,328,440,140,48,22,102,171,690,.502,.614,.350,.650,.594,.576,F-C,filipky01
16,Matas Buzelis,18.7,CHI,1,11,2024,,2024-25,20,CHI,80,31,0,1511,252,555,156,289,96,266,88,108,55,223,278,79,29,75,74,128,688,.454,.540,.361,.815,.571,.541,F,buzelma01
17,Jamal Shead,18.6,SAC,2,45,2024,Houston,2024-25,22,TOR,75,11,0,1467,204,504,132,281,72,223,53,69,30,85,115,316,58,10,117,158,533,.405,.470,.323,.768,.499,.476,G,sheadja01
18,Dalton Knecht,18.5,LAL,1,17,2024,Tennessee,2024-25,23,LAL,78,16,0,1494,257,557,129,217,128,340,64,84,37,179,216,66,24,8,37,93,706,.461,.594,.376,.762,.594,.576,G,knechda01
19,Ja'Kobe Walter,18.2,TOR,1,19,2024,Baylor,2024-25,20,TOR,52,18,0,1103,159,393,94,207,65,186,66,83,59,101,160,81,43,10,50,95,449,.405,.454,.349,.795,.523,.487,G,walteja01
20,Ron Holland,18.1,DET,1,5,2024,,2024-25,19,DET,81,2,0,1266,197,416,161,265,36,151,92,122,40,178,218,82,49,17,72,141,522,.474,.608,.238,.754,.556,.517,F,hollaro01
21,Devin Carter,17.9,SAC,1,13,2024,Providence,2024-25,22,SAC,36,0,0,396,47,127,29,66,18,61,26,44,19,57,76,41,21,4,18,39,138,.370,.439,.295,.591,.471,.441,G,cartede02
22,Reed Sheppard,17.8,HOU,1,3,2024,Kentucky,2024-25,20,HOU,52,3,0,654,84,239,36,97,48,142,13,16,16,62,78,75,35,17,37,53,229,.351,.371,.338,.813,.465,.452,G,sheppre01
23,Terrence Shannon Jr.,17.7,MIN,1,27,2024,Illinois,2024-25,24,MIN,32,1,0,339,55,114,44,83,11,31,17,21,10,37,47,32,7,5,15,27,138,.482,.530,.355,.810,.560,.531,G,shannte01
24,AJ Johnson,17.4,MIL,1,23,2024,,2024-25,20,MILWAS,29,11,0,639,82,213,58,123,24,90,32,37,8,51,59,76,12,3,35,50,220,.385,.472,.267,.865,.480,.441,G,johnsaj01
25,Jaylon Tyson,17.4,CLE,1,20,2024,California,2024-25,22,CLE,47,3,0,453,64,149,44,91,20,58,19,24,37,59,96,44,13,3,26,50,167,.430,.484,.345,.792,.523,.497,G,tysonja01
26,Kel'el Ware,17.2,MIA,1,15,2024,Indiana,2024-25,20,MIA,64,36,0,1422,257,464,222,353,35,111,46,67,116,357,473,60,39,71,57,111,595,.554,.629,.315,.687,.603,.592,C,wareke01
27,Ryan Dunn,16.7,DEN,1,28,2024,Virginia,2024-25,22,PHO,74,44,0,1410,205,477,123,213,82,264,19,39,92,175,267,57,44,40,40,162,511,.430,.577,.311,.487,.517,.516,F,dunnry01
28,Zach Edey,16.4,MEM,1,9,2024,Purdue,2024-25,22,MEM,66,55,0,1416,251,433,233,381,18,52,90,127,232,316,548,65,36,85,88,182,610,.580,.612,.346,.709,.624,.600,C,edeyza01
29,Ajay Mitchell,16.2,NYK,2,38,2024,UC Santa Barbara,2024-25,22,OKC,36,1,0,597,91,184,68,124,23,60,29,35,18,50,68,64,25,4,29,68,234,.495,.548,.383,.829,.587,.557,G,mitchaj01
30,Kyshawn George,15.9,NYK,1,24,2024,Miami (FL),2024-25,21,WAS,68,38,0,1802,203,546,89,192,114,354,70,93,49,236,285,169,68,50,97,201,590,.372,.464,.322,.753,.503,.476,G,georgky01
31,Jaylen Wells,15.9,MEM,2,39,2024,Washington State,2024-25,21,MEM,79,74,0,2043,287,676,149,284,138,392,111,135,87,181,268,135,44,8,69,146,823,.425,.525,.352,.822,.560,.527,F,wellsja01
32,Bub Carrington,15.8,POR,1,14,2024,Pittsburgh,2024-25,19,WAS,82,57,0,2458,300,748,162,341,138,407,69,85,33,308,341,364,54,21,141,190,807,.401,.475,.339,.812,.514,.493,G,carrica01
33,Tyler Kolek,15.8,POR,2,34,2024,Marquette,2024-25,23,NYK,41,0,0,296,27,82,13,35,14,47,13,17,8,19,27,70,12,4,18,26,81,.329,.371,.298,.765,.453,.415,G,kolekty01
34,Cam Spencer,15.4,DET,2,53,2024,Connecticut,2024-25,24,MEM,25,1,0,252,34,82,15,30,19,52,19,19,12,18,30,34,9,1,6,23,106,.415,.500,.365,1.000,.587,.530,G,spencca01
35,Tristan Da Silva,15.2,ORL,1,18,2024,Colorado,2024-25,23,ORL,74,38,0,1629,199,483,119,244,80,239,55,63,73,172,245,113,33,18,56,94,533,.412,.488,.335,.873,.522,.495,F,dasiltr01
36,Tidjane Salaün,15.2,CHA,1,6,2024,,2024-25,19,CHO,60,10,0,1244,114,345,56,140,58,205,67,94,70,210,280,74,29,14,58,84,353,.330,.400,.283,.713,.457,.414,F,salauti01
37,Jonathan Mogbo,15.0,TOR,2,31,2024,San Francisco,2024-25,23,TOR,63,18,0,1286,156,356,139,286,17,70,60,82,109,202,311,146,55,34,70,136,389,.438,.486,.243,.732,.496,.462,F,mogbojo01
38,Pacome Dadiet,14.7,NYK,1,25,2024,,2024-25,19,NYK,18,0,0,111,10,31,4,12,6,19,4,6,3,15,18,5,3,2,4,7,30,.323,.333,.316,.667,.446,.419,F,dadiepa01
39,Baylor Scheierman,14.5,BOS,1,30,2024,Creighton,2024-25,24,BOS,31,2,0,384,39,110,13,28,26,82,9,12,19,46,65,33,17,2,12,22,113,.355,.464,.317,.750,.490,.473,G,scheiba01
40,Pelle Larsson,14.4,HOU,2,44,2024,Arizona,2024-25,23,MIA,55,8,0,782,89,203,57,108,32,95,41,61,28,64,92,65,32,7,24,91,251,.438,.528,.337,.672,.546,.517,G,larsspe01
41,Yves Missi,14.3,NOH,1,21,2024,Baylor,2024-25,20,NOP,73,67,0,1956,269,492,269,491,0,1,127,204,255,346,601,99,37,98,82,145,665,.547,.548,.000,.623,.572,.547,C,missiyv01
42,Adem Bona,14.3,PHI,2,41,2024,UCLA,2024-25,21,PHI,58,11,0,905,135,192,135,191,0,1,67,100,92,153,245,27,26,69,61,125,337,.703,.707,.000,.670,.714,.703,C-F,bonaad01
43,Donovan Clingan,14.2,POR,1,7,2024,Connecticut,2024-25,20,POR,67,37,0,1324,180,334,166,285,14,49,62,104,217,310,527,77,34,110,72,189,436,.539,.582,.286,.596,.574,.560,C,clingdo01
44,Dillon Jones,13.3,WAS,1,26,2024,Weber State,2024-25,23,OKC,54,3,0,551,51,133,35,70,16,63,17,28,30,91,121,58,16,4,28,54,135,.383,.500,.254,.607,.464,.444,F,jonesdi01
45,Johnny Furphy,13.0,SAS,2,35,2024,Kansas,2024-25,20,IND,50,0,0,379,35,92,20,42,15,50,18,22,23,48,71,19,18,11,12,41,103,.380,.476,.300,.818,.506,.462,G-F,furphjo01
46,Cody Williams,12.5,UTA,1,10,2024,Colorado,2024-25,20,UTA,50,21,0,1060,83,257,48,122,35,135,29,40,27,86,113,59,23,16,44,95,230,.323,.393,.259,.725,.419,.391,G-F,willico04
47,Enrique Freeman,12.3,IND,2,50,2024,Akron,2024-25,24,IND,22,1,0,181,16,37,15,27,1,10,13,19,11,19,30,9,3,3,6,21,46,.432,.556,.100,.684,.507,.446,F,freemen01
48,Bobi Klintman,11.9,MIN,2,37,2024,,2024-25,21,DET,8,0,0,42,6,10,4,5,2,5,1,2,1,6,7,7,2,1,1,8,15,.600,.800,.400,.500,.689,.700,F,klintbo01
49,Kevin McCullar Jr.,11.8,PHO,2,56,2024,Kansas,2024-25,23,NYK,4,0,0,29,2,7,2,6,0,1,2,2,0,8,8,2,1,1,0,6,6,.286,.333,.000,1.000,.381,.286,G,mcculke01
50,DaRon Holmes,11.6,PHO,1,22,2024,Dayton,2025-26,23,DEN,5,1,0,58,6,12,2,4,4,8,5,6,1,9,10,7,0,1,1,6,21,.500,.500,.500,.833,.717,.667,F,holmeda01
51,Ariel Hukporti,11.6,DAL,2,58,2024,,2024-25,22,NYK,25,1,0,217,21,31,21,31,0,0,6,13,14,37,51,11,1,15,21,32,48,.677,.677,,.462,.654,.677,C,hukpoar01
52,Oso Ighodaro,10.5,POR,2,40,2024,Marquette,2024-25,22,PHO,61,6,0,1045,113,187,113,185,0,2,29,50,66,156,222,71,28,29,39,102,255,.604,.611,.000,.580,.610,.604,F,ighodos01
53,Ulrich Chomche,10.3,MEM,2,57,2024,,2024-25,19,TOR,7,0,0,32,2,5,2,5,0,0,1,2,4,4,8,2,0,1,2,5,5,.400,.400,,.500,.425,.400,F-C,chomcul01
54,Harrison Ingram,6.1,SAS,2,48,2024,North Carolina,2024-25,22,SAS,5,0,0,35,2,4,2,3,0,1,0,0,2,7,9,3,3,0,1,2,4,.500,.667,.000,,.500,.500,F,ingraha01
