Rk,Player,USG%,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
28,Carter Bryant,16.5,SAS,1,14,2025,Arizona,2025-26,20,SAS,27,0,0,207,22,69,12,31,10,38,6,8,9,34,43,5,4,2,9,22,60,.319,.387,.263,.750,.414,.391,G-F,bryanca01
29,Khaman Maluach,16.4,HOU,1,10,2025,Duke,2025-26,19,PHO,16,0,0,75,8,18,8,14,0,4,7,8,5,11,16,2,1,7,8,14,23,.444,.571,.000,.875,.534,.444,C,maluakh01
30,Collin Murray-Boyles,16.0,TOR,1,9,2025,South Carolina,2025-26,20,TOR,29,5,0,545,81,155,66,118,15,37,21,37,64,58,122,42,20,15,34,74,198,.523,.559,.405,.568,.578,.571,F,murraco01
31,Kam Jones,15.8,SAS,2,38,2025,Marquette,2025-26,23,IND,6,0,0,40,8,15,7,10,1,5,0,0,1,2,3,4,2,0,0,3,17,.533,.700,.200,,.567,.567,G,joneska03
32,Nolan Traoré,15.8,NJN,1,19,2025,,2025-26,19,BRK,12,0,0,175,17,47,10,26,7,21,7,9,1,9,10,23,6,4,13,18,48,.362,.385,.333,.778,.471,.436,G,traorno01
33,Taelon Peter,15.7,IND,2,54,2025,Liberty,2025-26,23,IND,21,0,0,122,10,34,1,2,9,32,4,6,6,13,19,14,3,2,9,7,33,.294,.500,.281,.667,.450,.426,G,peterta01
34,Kobe Sanders,15.3,NYK,2,50,2025,Nevada,2025-26,23,LAC,26,3,0,499,55,123,31,59,24,64,25,28,11,44,55,37,16,3,37,58,159,.447,.525,.375,.893,.587,.545,G,sandeko01
35,Yanic Konan Niederhäuser,15.2,LAC,1,30,2025,Penn State,2025-26,22,LAC,18,0,0,158,24,37,24,36,0,1,12,21,17,22,39,6,2,8,8,22,60,.649,.667,.000,.571,.649,.649,F,konanya01
36,Nique Clifford,15.2,OKC,1,24,2025,Colorado State,2025-26,23,SAC,31,3,0,579,64,159,42,88,22,71,21,29,23,68,91,43,20,8,35,67,171,.403,.477,.310,.724,.498,.472,G,cliffni01
37,Will Richard,15.1,MEM,2,56,2025,Florida,2025-26,23,GSW,31,13,0,605,90,174,49,69,41,105,33,41,34,53,87,35,32,2,25,62,254,.517,.710,.390,.805,.661,.635,G,richawi02
38,Drake Powell,14.7,ATL,1,22,2025,North Carolina,2025-26,20,BRK,23,1,0,419,51,105,34,57,17,48,26,29,4,33,37,41,16,4,25,38,145,.486,.596,.354,.897,.616,.567,G-F,poweldr01
