Rk,Player,USG%,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
22,Will Riley,17.6,UTA,1,21,2025,Illinois,2025-26,19,WAS,27,0,0,6.7,15.9,5.3,10.5,1.4,5.5,3.1,3.9,2.8,4.3,7.1,4.8,1.4,0.6,2.4,2.5,17.9,.421,.507,.256,.786,.507,.465,F,rileywi01
23,Noah Penda,16.5,BOS,2,32,2025,,2025-26,21,ORL,21,0,0,6.6,14.3,4.3,9.0,2.4,5.3,2.1,3.6,6.8,9.2,16.0,4.9,1.3,1.3,3.0,4.5,17.7,.463,.476,.440,.588,.557,.545,G-F,pendano01
24,Rasheer Fleming,18.3,MIN,2,31,2025,Saint Joseph's,2025-26,21,PHO,19,0,0,6.5,18.8,4.3,7.6,2.2,11.2,2.5,3.3,4.7,3.6,8.3,1.1,1.8,1.8,1.1,5.4,17.7,.346,.571,.194,.778,.438,.404,F,flemira01
25,Collin Murray-Boyles,16.0,TOR,1,9,2025,South Carolina,2025-26,20,TOR,29,5,0,7.2,13.8,5.9,10.5,1.3,3.3,1.9,3.3,5.7,5.2,10.8,3.7,1.8,1.3,3.0,6.6,17.6,.523,.559,.405,.568,.578,.571,F,murraco01
26,Drake Powell,14.7,ATL,1,22,2025,North Carolina,2025-26,20,BRK,23,1,0,6.0,12.3,4.0,6.7,2.0,5.6,3.1,3.4,0.5,3.9,4.3,4.8,1.9,0.5,2.9,4.5,17.0,.486,.596,.354,.897,.616,.567,G-F,poweldr01
27,Liam McNeeley,13.9,PHO,1,29,2025,Connecticut,2025-26,20,CHO,24,0,0,5.0,12.7,1.8,4.4,3.2,8.4,3.4,4.0,1.8,7.3,9.0,3.4,0.8,0.3,1.6,5.3,16.6,.392,.407,.385,.840,.572,.519,G-F,mcneeli01
28,Ryan Kalkbrenner,10.9,CHA,2,34,2025,Creighton,2025-26,24,CHO,26,25,0,7.0,8.9,7.0,8.8,0.0,0.1,2.5,3.4,4.9,7.3,12.2,1.2,1.3,3.4,2.2,3.5,16.5,.787,.800,.000,.723,.792,.787,C,kalkbry01
29,Joan Beringer,13.8,MIN,1,17,2025,,2025-26,19,MIN,12,0,0,7.2,11.8,7.2,11.8,0.0,0.0,1.8,2.7,3.6,11.8,15.4,0.0,0.9,4.5,2.7,8.1,16.3,.615,.615,,.667,.628,.615,C,berinjo01
30,Kobe Sanders,15.3,NYK,2,50,2025,Nevada,2025-26,23,LAC,26,3,0,5.5,12.3,3.1,5.9,2.4,6.4,2.5,2.8,1.1,4.4,5.5,3.7,1.6,0.3,3.7,5.8,15.9,.447,.525,.375,.893,.587,.545,G,sandeko01
31,Chaz Lanier,13.6,DET,2,37,2025,Tennessee,2025-26,24,DET,14,0,0,4.9,14.7,0.7,1.8,4.2,13.0,1.8,1.8,2.1,2.8,4.9,3.5,1.4,0.0,0.4,1.1,15.8,.333,.400,.324,1.000,.509,.476,G,laniech01
