player_id,player,draft_year,rookie_season,age,height_in,weight_lbs,position,games,minutes,mpg,usg_pct,pts,reb,ast,stl,blk,tov,fga,fgm,fg_pct,fg3a,fg3m,fg3_pct,fta,ftm,ft_pct,ftr,off_rating,def_rating,net_rating,pace,bpm,vorp
203109,Jae Crowder,2012,2013,,78.0,235.0,Forward,78,1353.165,17.34826923076923,,392,187,94,63,17,49,367,141,0.384,192,63,0.328,73,47,0.644,0.1989100817438692,,,,,,
203111,Orlando Johnson,2012,2013,,77.0,220.0,Guard,51,618.6566666666666,12.130522875816993,,203,110,47,11,9,29,180,72,0.4,94,36,0.383,32,23,0.719,0.17777777777777778,,,,,,
203112,Quincy Acy,2012,2013,,79.0,240.0,Forward,29,342.33666666666664,11.80471264367816,,116,77,11,13,15,17,75,42,0.56,2,1,0.5,38,31,0.816,0.5066666666666667,,,,,,
203115,Will Barton,2012,2013,,77.0,181.0,Guard,73,893.77,12.243424657534247,,295,145,58,34,9,60,309,118,0.382,65,9,0.138,65,50,0.769,0.21035598705501618,,,,,,
203117,Doron Lamb,2012,2013,,76.0,200.0,Guard,47,577.7783333333333,12.293156028368793,,154,46,32,13,0,26,163,60,0.368,37,14,0.378,34,20,0.588,0.2085889570552147,,,,,,
203121,Darius Miller,2012,2013,,78.0,225.0,Forward,52,694.0,13.346153846153847,,118,78,44,17,12,23,108,44,0.407,56,22,0.393,8,8,1.0,0.07407407407407407,,,,,,
203124,Kyle O'Quinn,2012,2013,,81.0,250.0,Center-Forward,57,637.9166666666666,11.191520467836257,,232,209,52,11,26,37,197,101,0.513,1,0,0.0,45,30,0.667,0.22842639593908629,,,,,,
203461,Anthony Bennett,2013,2014,,80.0,235.0,Forward,52,662.6383333333333,12.743044871794872,,217,155,17,21,8,47,225,80,0.356,53,13,0.245,69,44,0.638,0.30666666666666664,,,,,,
203506,Victor Oladipo,2013,2014,,75.0,213.0,Guard,80,2486.4933333333333,31.081166666666668,,1106,329,327,129,37,256,936,392,0.419,226,74,0.327,318,248,0.78,0.33974358974358976,,,,,,
203469,Cody Zeller,2013,2014,,83.0,240.0,Forward-Center,82,1416.6816666666666,17.27660569105691,,490,353,92,40,41,87,404,172,0.426,1,0,0.0,200,146,0.73,0.49504950495049505,,,,,,
203463,Ben McLemore,2013,2014,,75.0,195.0,Guard,82,2186.9066666666668,26.66959349593496,,720,235,82,45,18,96,679,255,0.376,297,95,0.32,143,115,0.804,0.2106038291605302,,,,,,
203484,Kentavious Caldwell-Pope,2013,2014,,77.0,204.0,Guard,80,1582.5133333333333,19.781416666666665,,470,156,55,75,12,28,460,182,0.396,185,59,0.319,61,47,0.77,0.13260869565217392,,,,,,
203504,Trey Burke,2013,2014,,72.0,185.0,Guard,70,2262.43,32.32042857142857,,895,208,396,42,6,131,897,341,0.38,336,111,0.33,113,102,0.903,0.12597547380156077,,,,,,
203468,CJ McCollum,2013,2014,,75.0,190.0,Guard,38,475.74,12.519473684210526,,201,48,27,14,2,35,178,74,0.416,80,30,0.375,34,23,0.676,0.19101123595505617,,,,,,
203487,Michael Carter-Williams,2013,2014,,77.0,190.0,Guard,70,2413.9133333333334,34.484476190476194,,1167,437,441,130,43,247,1054,427,0.405,208,55,0.264,367,258,0.703,0.34819734345351044,,,,,,
203482,Kelly Olynyk,2013,2014,,84.0,240.0,Forward-Center,70,1399.955,19.999357142857143,,607,365,109,35,27,106,502,234,0.466,114,40,0.351,122,99,0.811,0.24302788844621515,,,,,,
203507,Giannis Antetokounmpo,2013,2014,,83.0,243.0,Forward,77,1896.8083333333334,24.63387445887446,,525,339,150,60,61,122,418,173,0.414,118,41,0.347,202,138,0.683,0.48325358851674644,,,,,,
203501,Tim Hardaway Jr.,2013,2014,,77.0,205.0,Guard-Forward,81,1875.4783333333332,23.154053497942385,,824,121,66,44,7,47,687,294,0.428,358,130,0.363,128,106,0.828,0.18631732168850074,,,,,,
203460,Andre Roberson,2013,2014,,79.0,210.0,Guard-Forward,40,399.04333333333335,9.976083333333333,,75,94,15,19,10,19,68,33,0.485,13,2,0.154,10,7,0.7,0.14705882352941177,,,,,,
