season,not_seen_in_earlier_window_season,seen_in_earlier_window_season
2014-15,100.0,0.0
2015-16,63.910076274588526,36.08992372541148
2016-17,68.24890307140008,31.75109692859992
2017-18,67.63341067285383,32.36658932714617
2018-19,63.81837683232035,36.18162316767965
2019-20,70.13343799058084,29.86656200941915
2020-21,64.18870621872766,35.81129378127233
2021-22,63.45769487008661,36.54230512991339
2022-23,57.17284814555633,42.82715185444367
2023-24,59.53420669577875,40.46579330422125
